"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"SR Tendulkar (IND)","1989-2013",200,329,33,15921,"248*",53.78,51,68,14,"https://stats.espncricinfo.com/ci/engine/player/35320.html?class=1;template=results;type=batting;view=innings"
"JE Root (ENG)","2012-2026",163,298,25,13943,"262",51.07,41,66,15,"https://stats.espncricinfo.com/ci/engine/player/303669.html?class=1;template=results;type=batting;view=innings"
"RT Ponting (AUS)","1995-2012",168,287,29,13378,"257",51.85,41,62,17,"https://stats.espncricinfo.com/ci/engine/player/7133.html?class=1;template=results;type=batting;view=innings"
"JH Kallis (ICC/SA)","1995-2013",166,280,40,13289,"224",55.37,45,58,16,"https://stats.espncricinfo.com/ci/engine/player/45789.html?class=1;template=results;type=batting;view=innings"
"R Dravid (ICC/IND)","1996-2012",164,286,32,13288,"270",52.31,36,63,8,"https://stats.espncricinfo.com/ci/engine/player/28114.html?class=1;template=results;type=batting;view=innings"
"AN Cook (ENG)","2006-2018",161,291,16,12472,"294",45.35,33,57,9,"https://stats.espncricinfo.com/ci/engine/player/11728.html?class=1;template=results;type=batting;view=innings"
"KC Sangakkara (SL)","2000-2015",134,233,17,12400,"319",57.4,38,52,11,"https://stats.espncricinfo.com/ci/engine/player/50710.html?class=1;template=results;type=batting;view=innings"
"BC Lara (ICC/WI)","1990-2006",131,232,6,11953,"400*",52.88,34,48,17,"https://stats.espncricinfo.com/ci/engine/player/52337.html?class=1;template=results;type=batting;view=innings"
"S Chanderpaul (WI)","1994-2015",164,280,49,11867,"203*",51.37,30,66,15,"https://stats.espncricinfo.com/ci/engine/player/51469.html?class=1;template=results;type=batting;view=innings"
"DPMD Jayawardene (SL)","1997-2014",149,252,15,11814,"374",49.84,34,50,15,"https://stats.espncricinfo.com/ci/engine/player/49289.html?class=1;template=results;type=batting;view=innings"
"AR Border (AUS)","1978-1994",156,265,44,11174,"205",50.56,27,63,11,"https://stats.espncricinfo.com/ci/engine/player/4174.html?class=1;template=results;type=batting;view=innings"
"SR Waugh (AUS)","1985-2004",168,260,46,10927,"200",51.06,32,50,22,"https://stats.espncricinfo.com/ci/engine/player/8192.html?class=1;template=results;type=batting;view=innings"
"SPD Smith (AUS)","2010-2026",123,220,28,10763,"239",56.05,37,44,11,"https://stats.espncricinfo.com/ci/engine/player/267192.html?class=1;template=results;type=batting;view=innings"
"SM Gavaskar (IND)","1971-1987",125,214,16,10122,"236*",51.12,34,45,12,"https://stats.espncricinfo.com/ci/engine/player/28794.html?class=1;template=results;type=batting;view=innings"
"Younis Khan (PAK)","2000-2017",118,213,19,10099,"313",52.05,34,33,19,"https://stats.espncricinfo.com/ci/engine/player/43652.html?class=1;template=results;type=batting;view=innings"
"KS Williamson (NZ)","2010-2025",108,192,19,9461,"251",54.68,33,38,11,"https://stats.espncricinfo.com/ci/engine/player/277906.html?class=1;template=results;type=batting;view=innings"
"HM Amla (SA)","2004-2019",124,215,16,9282,"311*",46.64,28,41,13,"https://stats.espncricinfo.com/ci/engine/player/43906.html?class=1;template=results;type=batting;view=innings"
"GC Smith (ICC/SA)","2002-2014",117,205,13,9265,"277",48.25,27,38,11,"https://stats.espncricinfo.com/ci/engine/player/47270.html?class=1;template=results;type=batting;view=innings"
"V Kohli (IND)","2011-2025",123,210,13,9230,"254*",46.85,30,31,15,"https://stats.espncricinfo.com/ci/engine/player/253802.html?class=1;template=results;type=batting;view=innings"
"GA Gooch (ENG)","1975-1995",118,215,6,8900,"333",42.58,20,46,13,"https://stats.espncricinfo.com/ci/engine/player/13399.html?class=1;template=results;type=batting;view=innings"
"Javed Miandad (PAK)","1976-1993",124,189,21,8832,"280*",52.57,23,43,6,"https://stats.espncricinfo.com/ci/engine/player/40879.html?class=1;template=results;type=batting;view=innings"
"Inzamam-ul-Haq (ICC/PAK)","1992-2007",120,200,22,8830,"329",49.6,25,46,15,"https://stats.espncricinfo.com/ci/engine/player/40570.html?class=1;template=results;type=batting;view=innings"
"DA Warner (AUS)","2011-2024",112,205,8,8786,"335*",44.59,26,37,13,"https://stats.espncricinfo.com/ci/engine/player/219889.html?class=1;template=results;type=batting;view=innings"
"VVS Laxman (IND)","1996-2012",134,225,34,8781,"281",45.97,17,56,14,"https://stats.espncricinfo.com/ci/engine/player/30750.html?class=1;template=results;type=batting;view=innings"
"AB de Villiers (SA)","2004-2018",114,191,18,8765,"278*",50.66,22,46,8,"https://stats.espncricinfo.com/ci/engine/player/44936.html?class=1;template=results;type=batting;view=innings"
"MJ Clarke (AUS)","2004-2015",115,198,22,8643,"329*",49.1,28,27,9,"https://stats.espncricinfo.com/ci/engine/player/4578.html?class=1;template=results;type=batting;view=innings"
"ML Hayden (AUS)","1994-2009",103,184,14,8625,"380",50.73,30,29,14,"https://stats.espncricinfo.com/ci/engine/player/5616.html?class=1;template=results;type=batting;view=innings"
"V Sehwag (ICC/IND)","2001-2013",104,180,6,8586,"319",49.34,23,32,16,"https://stats.espncricinfo.com/ci/engine/player/35263.html?class=1;template=results;type=batting;view=innings"
"IVA Richards (WI)","1974-1991",121,182,12,8540,"291",50.23,24,45,10,"https://stats.espncricinfo.com/ci/engine/player/52812.html?class=1;template=results;type=batting;view=innings"
"AJ Stewart (ENG)","1990-2003",133,235,21,8463,"190",39.54,15,45,14,"https://stats.espncricinfo.com/ci/engine/player/20372.html?class=1;template=results;type=batting;view=innings"
"DI Gower (ENG)","1978-1992",117,204,18,8231,"215",44.25,18,39,7,"https://stats.espncricinfo.com/ci/engine/player/13418.html?class=1;template=results;type=batting;view=innings"
"AD Mathews (SL)","2009-2025",119,212,27,8214,"200*",44.4,16,45,6,"https://stats.espncricinfo.com/ci/engine/player/49764.html?class=1;template=results;type=batting;view=innings"
"KP Pietersen (ENG)","2005-2014",104,181,8,8181,"227",47.28,23,35,10,"https://stats.espncricinfo.com/ci/engine/player/19296.html?class=1;template=results;type=batting;view=innings"
"G Boycott (ENG)","1964-1982",108,193,23,8114,"246*",47.72,22,42,10,"https://stats.espncricinfo.com/ci/engine/player/9187.html?class=1;template=results;type=batting;view=innings"
"GS Sobers (WI)","1954-1974",93,160,21,8032,"365*",57.78,26,30,12,"https://stats.espncricinfo.com/ci/engine/player/52946.html?class=1;template=results;type=batting;view=innings"
"ME Waugh (AUS)","1991-2002",128,209,17,8029,"153*",41.81,20,47,19,"https://stats.espncricinfo.com/ci/engine/player/8189.html?class=1;template=results;type=batting;view=innings"
"MA Atherton (ENG)","1989-2001",115,212,7,7728,"185*",37.69,16,46,20,"https://stats.espncricinfo.com/ci/engine/player/8579.html?class=1;template=results;type=batting;view=innings"
"IR Bell (ENG)","2004-2015",118,205,24,7727,"235",42.69,22,46,14,"https://stats.espncricinfo.com/ci/engine/player/9062.html?class=1;template=results;type=batting;view=innings"
"JL Langer (AUS)","1993-2007",105,182,12,7696,"250",45.27,23,30,11,"https://stats.espncricinfo.com/ci/engine/player/6256.html?class=1;template=results;type=batting;view=innings"
"LRPL Taylor (NZ)","2007-2022",112,196,24,7683,"290",44.66,19,35,14,"https://stats.espncricinfo.com/ci/engine/player/38699.html?class=1;template=results;type=batting;view=innings"
"MC Cowdrey (ENG)","1954-1975",114,188,15,7624,"182",44.06,22,38,9,"https://stats.espncricinfo.com/ci/engine/player/10846.html?class=1;template=results;type=batting;view=innings"
"CG Greenidge (WI)","1974-1991",108,185,16,7558,"226",44.72,19,34,11,"https://stats.espncricinfo.com/ci/engine/player/51901.html?class=1;template=results;type=batting;view=innings"
"Mohammad Yousuf (PAK)","1998-2010",90,156,12,7530,"223",52.29,24,33,11,"https://stats.espncricinfo.com/ci/engine/player/43650.html?class=1;template=results;type=batting;view=innings"
"MA Taylor (AUS)","1989-1999",104,186,13,7525,"334*",43.49,19,40,5,"https://stats.espncricinfo.com/ci/engine/player/7924.html?class=1;template=results;type=batting;view=innings"
"CH Lloyd (WI)","1966-1985",110,175,14,7515,"242*",46.67,19,39,4,"https://stats.espncricinfo.com/ci/engine/player/52345.html?class=1;template=results;type=batting;view=innings"
"DL Haynes (WI)","1978-1994",116,202,25,7487,"184",42.29,18,39,10,"https://stats.espncricinfo.com/ci/engine/player/52047.html?class=1;template=results;type=batting;view=innings"
"DC Boon (AUS)","1984-1996",107,190,20,7422,"200",43.65,21,32,16,"https://stats.espncricinfo.com/ci/engine/player/4169.html?class=1;template=results;type=batting;view=innings"
"G Kirsten (SA)","1993-2004",101,176,15,7289,"275",45.27,21,34,13,"https://stats.espncricinfo.com/ci/engine/player/45813.html?class=1;template=results;type=batting;view=innings"
"WR Hammond (ENG)","1927-1947",85,140,16,7249,"336*",58.45,22,24,4,"https://stats.espncricinfo.com/ci/engine/player/14022.html?class=1;template=results;type=batting;view=innings"
"FDM Karunaratne (SL)","2012-2025",100,191,7,7222,"244",39.25,16,39,13,"https://stats.espncricinfo.com/ci/engine/player/227772.html?class=1;template=results;type=batting;view=innings"
"BA Stokes (ENG)","2013-2026",120,216,9,7216,"258",34.85,14,37,17,"https://stats.espncricinfo.com/ci/engine/player/311158.html?class=1;template=results;type=batting;view=innings"
"CH Gayle (WI)","2000-2014",103,182,11,7214,"333",42.18,15,37,15,"https://stats.espncricinfo.com/ci/engine/player/51880.html?class=1;template=results;type=batting;view=innings"
"SC Ganguly (IND)","1996-2008",113,188,17,7212,"239",42.17,16,35,13,"https://stats.espncricinfo.com/ci/engine/player/28779.html?class=1;template=results;type=batting;view=innings"
"CA Pujara (IND)","2010-2023",103,176,11,7195,"206*",43.6,19,35,12,"https://stats.espncricinfo.com/ci/engine/player/32540.html?class=1;template=results;type=batting;view=innings"
"SP Fleming (NZ)","1994-2008",111,189,10,7172,"274*",40.06,9,46,16,"https://stats.espncricinfo.com/ci/engine/player/37000.html?class=1;template=results;type=batting;view=innings"
"Azhar Ali (PAK)","2010-2022",97,180,11,7142,"302*",42.26,19,35,19,"https://stats.espncricinfo.com/ci/engine/player/39037.html?class=1;template=results;type=batting;view=innings"
"GS Chappell (AUS)","1970-1984",87,151,19,7110,"247*",53.86,24,31,12,"https://stats.espncricinfo.com/ci/engine/player/4558.html?class=1;template=results;type=batting;view=innings"
"AJ Strauss (ENG)","2004-2012",100,178,6,7037,"177",40.91,21,27,15,"https://stats.espncricinfo.com/ci/engine/player/20387.html?class=1;template=results;type=batting;view=innings"
"DG Bradman (AUS)","1928-1948",52,80,10,6996,"334",99.94,29,13,7,"https://stats.espncricinfo.com/ci/engine/player/4188.html?class=1;template=results;type=batting;view=innings"
"ST Jayasuriya (SL)","1991-2007",110,188,14,6973,"340",40.07,14,31,15,"https://stats.espncricinfo.com/ci/engine/player/49209.html?class=1;template=results;type=batting;view=innings"
"L Hutton (ENG)","1937-1955",79,138,15,6971,"364",56.67,19,33,5,"https://stats.espncricinfo.com/ci/engine/player/14334.html?class=1;template=results;type=batting;view=innings"
"DB Vengsarkar (IND)","1976-1992",116,185,22,6868,"166",42.13,17,35,15,"https://stats.espncricinfo.com/ci/engine/player/35654.html?class=1;template=results;type=batting;view=innings"
"KF Barrington (ENG)","1955-1968",82,131,15,6806,"256",58.67,20,35,5,"https://stats.espncricinfo.com/ci/engine/player/9014.html?class=1;template=results;type=batting;view=innings"
"GP Thorpe (ENG)","1993-2005",100,179,28,6744,"200*",44.66,16,39,12,"https://stats.espncricinfo.com/ci/engine/player/21537.html?class=1;template=results;type=batting;view=innings"
"Mushfiqur Rahim (BAN)","2005-2025",100,184,16,6510,"219*",38.75,13,28,13,"https://stats.espncricinfo.com/ci/engine/player/56029.html?class=1;template=results;type=batting;view=innings"
"BB McCullum (NZ)","2004-2016",101,176,9,6453,"302",38.64,12,31,14,"https://stats.espncricinfo.com/ci/engine/player/37737.html?class=1;template=results;type=batting;view=innings"
"LD Chandimal (SL)","2011-2025",90,161,15,6361,"206*",43.56,16,34,8,"https://stats.espncricinfo.com/ci/engine/player/300628.html?class=1;template=results;type=batting;view=innings"
"PA de Silva (SL)","1984-2002",93,159,11,6361,"267",42.97,20,22,7,"https://stats.espncricinfo.com/ci/engine/player/48462.html?class=1;template=results;type=batting;view=innings"
"TWM Latham (NZ)","2014-2025",91,164,6,6261,"264*",39.62,16,31,13,"https://stats.espncricinfo.com/ci/engine/player/388802.html?class=1;template=results;type=batting;view=innings"
"MEK Hussey (AUS)","2005-2013",79,137,16,6235,"195",51.52,19,29,12,"https://stats.espncricinfo.com/ci/engine/player/5939.html?class=1;template=results;type=batting;view=innings"
"UT Khawaja (AUS)","2011-2026",88,159,14,6229,"232",42.95,16,28,10,"https://stats.espncricinfo.com/ci/engine/player/215155.html?class=1;template=results;type=batting;view=innings"
"RB Kanhai (WI)","1957-1974",79,137,6,6227,"256",47.53,15,28,7,"https://stats.espncricinfo.com/ci/engine/player/52287.html?class=1;template=results;type=batting;view=innings"
"M Azharuddin (IND)","1984-2000",99,147,9,6215,"199",45.03,22,21,5,"https://stats.espncricinfo.com/ci/engine/player/26329.html?class=1;template=results;type=batting;view=innings"
"HH Gibbs (SA)","1996-2008",90,154,7,6167,"228",41.95,14,26,11,"https://stats.espncricinfo.com/ci/engine/player/45224.html?class=1;template=results;type=batting;view=innings"
"RN Harvey (AUS)","1948-1963",79,137,10,6149,"205",48.41,21,24,7,"https://stats.espncricinfo.com/ci/engine/player/5603.html?class=1;template=results;type=batting;view=innings"
"GR Viswanath (IND)","1969-1983",91,155,10,6080,"222",41.93,14,35,10,"https://stats.espncricinfo.com/ci/engine/player/35712.html?class=1;template=results;type=batting;view=innings"
"JM Bairstow (ENG)","2012-2024",100,178,12,6042,"167*",36.39,12,26,17,"https://stats.espncricinfo.com/ci/engine/player/297433.html?class=1;template=results;type=batting;view=innings"
"KC Brathwaite (WI)","2011-2025",100,193,10,5950,"212",32.51,12,31,19,"https://stats.espncricinfo.com/ci/engine/player/348024.html?class=1;template=results;type=batting;view=innings"
"RB Richardson (WI)","1983-1995",86,146,12,5949,"194",44.39,16,27,8,"https://stats.espncricinfo.com/ci/engine/player/52810.html?class=1;template=results;type=batting;view=innings"
"RR Sarwan (WI)","2000-2011",87,154,8,5842,"291",40.01,15,31,12,"https://stats.espncricinfo.com/ci/engine/player/52969.html?class=1;template=results;type=batting;view=innings"
"ME Trescothick (ENG)","2000-2006",76,143,10,5825,"219",43.79,14,29,12,"https://stats.espncricinfo.com/ci/engine/player/21585.html?class=1;template=results;type=batting;view=innings"
"DCS Compton (ENG)","1937-1957",78,131,15,5807,"278",50.06,17,28,10,"https://stats.espncricinfo.com/ci/engine/player/10777.html?class=1;template=results;type=batting;view=innings"
"Saleem Malik (PAK)","1982-1999",103,154,22,5768,"237",43.69,15,29,12,"https://stats.espncricinfo.com/ci/engine/player/42623.html?class=1;template=results;type=batting;view=innings"
"N Hussain (ENG)","1990-2004",96,171,16,5764,"207",37.18,14,33,14,"https://stats.espncricinfo.com/ci/engine/player/14325.html?class=1;template=results;type=batting;view=innings"
"CL Hooper (WI)","1987-2002",102,173,15,5762,"233",36.46,13,27,13,"https://stats.espncricinfo.com/ci/engine/player/52066.html?class=1;template=results;type=batting;view=innings"
"MP Vaughan (ENG)","1999-2008",82,147,9,5719,"197",41.44,18,18,9,"https://stats.espncricinfo.com/ci/engine/player/22182.html?class=1;template=results;type=batting;view=innings"
"AC Gilchrist (AUS)","1999-2008",96,137,20,5570,"204*",47.6,17,26,14,"https://stats.espncricinfo.com/ci/engine/player/5390.html?class=1;template=results;type=batting;view=innings"
"MV Boucher (ICC/SA)","1997-2012",147,206,24,5515,"125",30.3,5,35,17,"https://stats.espncricinfo.com/ci/engine/player/44111.html?class=1;template=results;type=batting;view=innings"
"MS Atapattu (SL)","1990-2007",90,156,15,5502,"249",39.02,16,17,22,"https://stats.espncricinfo.com/ci/engine/player/48124.html?class=1;template=results;type=batting;view=innings"
"TM Dilshan (SL)","1999-2013",87,145,11,5492,"193",40.98,16,23,14,"https://stats.espncricinfo.com/ci/engine/player/48472.html?class=1;template=results;type=batting;view=innings"
"TT Samaraweera (SL)","2001-2013",81,132,20,5462,"231",48.76,14,30,11,"https://stats.espncricinfo.com/ci/engine/player/50424.html?class=1;template=results;type=batting;view=innings"
"MD Crowe (NZ)","1982-1995",77,131,11,5444,"299",45.36,17,18,9,"https://stats.espncricinfo.com/ci/engine/player/36622.html?class=1;template=results;type=batting;view=innings"
"JB Hobbs (ENG)","1908-1930",61,102,7,5410,"211",56.94,15,28,4,"https://stats.espncricinfo.com/ci/engine/player/14225.html?class=1;template=results;type=batting;view=innings"
"KD Walters (AUS)","1965-1981",74,125,14,5357,"250",48.26,15,33,4,"https://stats.espncricinfo.com/ci/engine/player/8151.html?class=1;template=results;type=batting;view=innings"
"D Elgar (SA)","2012-2024",86,152,11,5347,"199",37.92,14,23,13,"https://stats.espncricinfo.com/ci/engine/player/230852.html?class=1;template=results;type=batting;view=innings"
"IM Chappell (AUS)","1964-1980",75,136,10,5345,"196",42.42,14,26,11,"https://stats.espncricinfo.com/ci/engine/player/4560.html?class=1;template=results;type=batting;view=innings"
"JG Wright (NZ)","1978-1993",82,148,7,5334,"185",37.82,12,23,7,"https://stats.espncricinfo.com/ci/engine/player/38757.html?class=1;template=results;type=batting;view=innings"
"MJ Slater (AUS)","1993-2001",74,131,7,5312,"219",42.83,14,21,9,"https://stats.espncricinfo.com/ci/engine/player/7629.html?class=1;template=results;type=batting;view=innings"
"N Kapil Dev (IND)","1978-1994",131,184,15,5248,"163",31.05,8,27,16,"https://stats.espncricinfo.com/ci/engine/player/30028.html?class=1;template=results;type=batting;view=innings"
"WM Lawry (AUS)","1961-1971",67,123,12,5234,"210",47.15,13,27,6,"https://stats.espncricinfo.com/ci/engine/player/6270.html?class=1;template=results;type=batting;view=innings"
"Misbah-ul-Haq (PAK)","2001-2017",75,132,20,5222,"161*",46.62,10,39,9,"https://stats.espncricinfo.com/ci/engine/player/41378.html?class=1;template=results;type=batting;view=innings"
"IT Botham (ENG)","1977-1992",102,161,6,5200,"208",33.54,14,22,14,"https://stats.espncricinfo.com/ci/engine/player/9163.html?class=1;template=results;type=batting;view=innings"
"JH Edrich (ENG)","1963-1976",77,127,9,5138,"310*",43.54,12,24,6,"https://stats.espncricinfo.com/ci/engine/player/12490.html?class=1;template=results;type=batting;view=innings"
"Tamim Iqbal (BAN)","2008-2023",70,134,2,5134,"206",38.89,10,31,11,"https://stats.espncricinfo.com/ci/engine/player/56194.html?class=1;template=results;type=batting;view=innings"
"A Ranatunga (SL)","1982-2000",93,155,12,5105,"135*",35.69,4,38,12,"https://stats.espncricinfo.com/ci/engine/player/50244.html?class=1;template=results;type=batting;view=innings"
"AM Rahane (IND)","2013-2023",85,144,12,5077,"188",38.46,12,26,10,"https://stats.espncricinfo.com/ci/engine/player/277916.html?class=1;template=results;type=batting;view=innings"
"Zaheer Abbas (PAK)","1969-1985",78,124,11,5062,"274",44.79,12,20,10,"https://stats.espncricinfo.com/ci/engine/player/43695.html?class=1;template=results;type=batting;view=innings"
"TW Graveney (ENG)","1951-1969",79,123,13,4882,"258",44.38,11,20,8,"https://stats.espncricinfo.com/ci/engine/player/13434.html?class=1;template=results;type=batting;view=innings"
"MS Dhoni (IND)","2005-2014",90,144,16,4876,"224",38.09,6,33,10,"https://stats.espncricinfo.com/ci/engine/player/28081.html?class=1;template=results;type=batting;view=innings"
"RB Simpson (AUS)","1957-1978",62,111,7,4869,"311",46.81,10,27,8,"https://stats.espncricinfo.com/ci/engine/player/7619.html?class=1;template=results;type=batting;view=innings"
"Mominul Haque (BAN)","2013-2025",75,139,10,4859,"181",37.66,13,25,18,"https://stats.espncricinfo.com/ci/engine/player/373696.html?class=1;template=results;type=batting;view=innings"
"A Flower (ZIM)","1992-2002",63,112,19,4794,"232*",51.54,12,27,5,"https://stats.espncricinfo.com/ci/engine/player/55427.html?class=1;template=results;type=batting;view=innings"
"BKG Mendis (SL)","2015-2025",73,135,6,4757,"245",36.87,10,22,14,"https://stats.espncricinfo.com/ci/engine/player/629074.html?class=1;template=results;type=batting;view=innings"
"IR Redpath (AUS)","1964-1976",66,120,11,4737,"171",43.45,8,31,9,"https://stats.espncricinfo.com/ci/engine/player/7314.html?class=1;template=results;type=batting;view=innings"
"NJ Astle (NZ)","1996-2006",81,137,10,4702,"222",37.02,11,24,11,"https://stats.espncricinfo.com/ci/engine/player/36185.html?class=1;template=results;type=batting;view=innings"
"M Labuschagne (AUS)","2018-2026",63,114,9,4694,"215",44.7,11,25,4,"https://stats.espncricinfo.com/ci/engine/player/787987.html?class=1;template=results;type=batting;view=innings"
"Asad Shafiq (PAK)","2010-2020",77,128,6,4660,"137",38.19,12,27,13,"https://stats.espncricinfo.com/ci/engine/player/316397.html?class=1;template=results;type=batting;view=innings"
"AJ Lamb (ENG)","1982-1992",79,139,10,4656,"142",36.09,14,18,9,"https://stats.espncricinfo.com/ci/engine/player/16178.html?class=1;template=results;type=batting;view=innings"
"Shakib Al Hasan (BAN)","2007-2024",71,130,8,4609,"217",37.77,5,31,6,"https://stats.espncricinfo.com/ci/engine/player/56143.html?class=1;template=results;type=batting;view=innings"
"TM Head (AUS)","2018-2026",65,111,6,4592,"175",43.73,12,20,7,"https://stats.espncricinfo.com/ci/engine/player/530011.html?class=1;template=results;type=batting;view=innings"
"H Sutcliffe (ENG)","1924-1935",54,84,9,4555,"194",60.73,16,23,2,"https://stats.espncricinfo.com/ci/engine/player/20413.html?class=1;template=results;type=batting;view=innings"
"DJ Cullinan (SA)","1993-2001",70,115,12,4554,"275*",44.21,14,20,10,"https://stats.espncricinfo.com/ci/engine/player/44489.html?class=1;template=results;type=batting;view=innings"
"HP Tillakaratne (SL)","1989-2004",83,131,25,4545,"204*",42.87,11,20,9,"https://stats.espncricinfo.com/ci/engine/player/50744.html?class=1;template=results;type=batting;view=innings"
"PBH May (ENG)","1951-1961",66,106,9,4537,"285*",46.77,13,22,8,"https://stats.espncricinfo.com/ci/engine/player/16956.html?class=1;template=results;type=batting;view=innings"
"DL Vettori (ICC/NZ)","1997-2014",113,174,23,4531,"140",30,6,23,20,"https://stats.espncricinfo.com/ci/engine/player/38710.html?class=1;template=results;type=batting;view=innings"
"ER Dexter (ENG)","1958-1968",62,102,8,4502,"205",47.89,9,27,6,"https://stats.espncricinfo.com/ci/engine/player/11886.html?class=1;template=results;type=batting;view=innings"
"ED Weekes (WI)","1948-1958",48,81,5,4455,"207",58.61,15,19,6,"https://stats.espncricinfo.com/ci/engine/player/53241.html?class=1;template=results;type=batting;view=innings"
"KJ Hughes (AUS)","1977-1984",70,124,6,4415,"213",37.41,9,22,10,"https://stats.espncricinfo.com/ci/engine/player/5724.html?class=1;template=results;type=batting;view=innings"
"MW Gatting (ENG)","1978-1995",79,138,14,4409,"207",35.55,10,21,16,"https://stats.espncricinfo.com/ci/engine/player/13340.html?class=1;template=results;type=batting;view=innings"
"DR Martyn (AUS)","1992-2006",67,109,14,4406,"165",46.37,13,23,7,"https://stats.espncricinfo.com/ci/engine/player/6513.html?class=1;template=results;type=batting;view=innings"
"AI Kallicharran (WI)","1972-1981",66,109,10,4399,"187",44.43,12,21,10,"https://stats.espncricinfo.com/ci/engine/player/52285.html?class=1;template=results;type=batting;view=innings"
"APE Knott (ENG)","1967-1981",95,149,15,4389,"135",32.75,5,30,8,"https://stats.espncricinfo.com/ci/engine/player/15917.html?class=1;template=results;type=batting;view=innings"
"M Amarnath (IND)","1969-1988",69,113,10,4378,"138",42.5,11,24,12,"https://stats.espncricinfo.com/ci/engine/player/26225.html?class=1;template=results;type=batting;view=innings"
"Babar Azam (PAK)","2016-2025",61,112,9,4366,"196",42.38,9,30,8,"https://stats.espncricinfo.com/ci/engine/player/348144.html?class=1;template=results;type=batting;view=innings"
"IA Healy (AUS)","1988-1999",119,182,23,4356,"161*",27.39,4,22,18,"https://stats.espncricinfo.com/ci/engine/player/5628.html?class=1;template=results;type=batting;view=innings"
"RC Fredericks (WI)","1968-1977",59,109,7,4334,"169",42.49,8,26,7,"https://stats.espncricinfo.com/ci/engine/player/51797.html?class=1;template=results;type=batting;view=innings"
"RG Sharma (IND)","2013-2024",67,116,10,4301,"212",40.57,12,18,6,"https://stats.espncricinfo.com/ci/engine/player/34102.html?class=1;template=results;type=batting;view=innings"
"MA Butcher (ENG)","1997-2004",71,131,7,4288,"173*",34.58,8,23,10,"https://stats.espncricinfo.com/ci/engine/player/9327.html?class=1;template=results;type=batting;view=innings"
"PD Collingwood (ENG)","2003-2011",68,115,10,4259,"206",40.56,10,20,6,"https://stats.espncricinfo.com/ci/engine/player/10772.html?class=1;template=results;type=batting;view=innings"
"RA Smith (ENG)","1988-1996",62,112,15,4236,"175",43.67,9,28,8,"https://stats.espncricinfo.com/ci/engine/player/20263.html?class=1;template=results;type=batting;view=innings"
"SM Katich (AUS)","2001-2010",56,99,6,4188,"157",45.03,10,25,4,"https://stats.espncricinfo.com/ci/engine/player/6128.html?class=1;template=results;type=batting;view=innings"
"F du Plessis (SA)","2012-2021",69,118,14,4163,"199",40.02,10,21,9,"https://stats.espncricinfo.com/ci/engine/player/44828.html?class=1;template=results;type=batting;view=innings"
"G Gambhir (IND)","2004-2016",58,104,5,4154,"206",41.95,9,22,7,"https://stats.espncricinfo.com/ci/engine/player/28763.html?class=1;template=results;type=batting;view=innings"
"DM de Silva (SL)","2016-2025",65,115,9,4133,"173",38.99,12,19,10,"https://stats.espncricinfo.com/ci/engine/player/465793.html?class=1;template=results;type=batting;view=innings"
"Mudassar Nazar (PAK)","1976-1989",76,116,8,4114,"231",38.09,10,17,7,"https://stats.espncricinfo.com/ci/engine/player/41308.html?class=1;template=results;type=batting;view=innings"
"MJ Prior (ENG)","2007-2014",79,123,21,4099,"131*",40.18,7,28,13,"https://stats.espncricinfo.com/ci/engine/player/18675.html?class=1;template=results;type=batting;view=innings"
"RA Jadeja (IND)","2012-2025",89,133,26,4095,"175*",38.27,6,28,8,"https://stats.espncricinfo.com/ci/engine/player/234675.html?class=1;template=results;type=batting;view=innings"
"KL Rahul (IND)","2014-2025",67,118,5,4053,"199",35.86,11,20,9,"https://stats.espncricinfo.com/ci/engine/player/422108.html?class=1;template=results;type=batting;view=innings"
"Saeed Anwar (PAK)","1990-2001",55,91,2,4052,"188*",45.52,11,25,8,"https://stats.espncricinfo.com/ci/engine/player/42605.html?class=1;template=results;type=batting;view=innings"
"M Vijay (IND)","2008-2018",61,105,1,3982,"167",38.28,12,15,8,"https://stats.espncricinfo.com/ci/engine/player/237095.html?class=1;template=results;type=batting;view=innings"
"Majid Khan (PAK)","1964-1983",63,106,5,3931,"167",38.92,8,19,9,"https://stats.espncricinfo.com/ci/engine/player/41919.html?class=1;template=results;type=batting;view=innings"
"MN Samuels (WI)","2000-2016",71,127,7,3917,"260",32.64,7,24,14,"https://stats.espncricinfo.com/ci/engine/player/52983.html?class=1;template=results;type=batting;view=innings"
"Hanif Mohammad (PAK)","1952-1969",55,97,8,3915,"337",43.98,12,15,5,"https://stats.espncricinfo.com/ci/engine/player/40373.html?class=1;template=results;type=batting;view=innings"
"FMM Worrell (WI)","1948-1963",51,87,9,3860,"261",49.48,9,22,11,"https://stats.espncricinfo.com/ci/engine/player/53238.html?class=1;template=results;type=batting;view=innings"
"A Flintoff (ENG/ICC)","1998-2009",79,130,9,3845,"167",31.77,5,26,17,"https://stats.espncricinfo.com/ci/engine/player/12856.html?class=1;template=results;type=batting;view=innings"
"IJL Trott (ENG)","2009-2015",52,93,6,3835,"226",44.08,9,19,8,"https://stats.espncricinfo.com/ci/engine/player/47623.html?class=1;template=results;type=batting;view=innings"
"RJ Shastri (IND)","1981-1992",80,121,14,3830,"206",35.79,11,12,9,"https://stats.espncricinfo.com/ci/engine/player/33975.html?class=1;template=results;type=batting;view=innings"
